,City,Country,Latitude,Longitude,Humidity,Cloudiness,Wind_Speed,Max_Temp_degF,Date
288,Manus Province,PG,-2.0,147.0,98,92,4.12,301.418,2019-03-30
289,Koh Tao,TH,10.1,99.84,70,20,2.1,305.15,2019-03-30
290,Ujae Atoll,MH,9.08,165.63,98,64,10.72,301.018,2019-03-30
291,Bakanas,KZ,44.81,76.27,100,80,3.72,285.268,2019-03-30
292,Tatarskaya,RU,47.45,39.98,65,40,1.0,280.15,2019-03-30
293,Gwanda,ZW,-20.94,29.0,52,8,5.07,299.718,2019-03-30
294,Mitzic,GA,0.78,11.55,84,56,1.32,299.668,2019-03-30
295,Nantucket,US,41.28,-70.1,93,90,1.5,279.26,2019-03-30
296,Shikotan,RU,43.8,146.72,92,64,4.32,272.568,2019-03-30
297,Esperance,TT,10.24,-61.45,88,20,2.1,299.26,2019-03-30
298,Mayo Road,CA,60.91,-135.22,74,40,1.5,274.15,2019-03-30
299,Wattegama,LK,7.35,80.68,85,24,2.72,300.718,2019-03-30
300,Kaktovik,US,70.13,-143.61,85,90,6.7,269.15,2019-03-30
301,Tamanrasset,DZ,22.79,5.53,22,40,2.1,297.15,2019-03-30
302,Okazato,JP,33.1,139.78,100,80,6.87,290.168,2019-03-30
303,Departamento de Oruro,BO,-18.67,-67.5,100,0,3.02,277.668,2019-03-30
304,Tasiilaq,GL,65.61,-37.64,72,68,2.1,265.15,2019-03-30
305,Kaisun,CA,53.03,-132.45,100,1,2.1,277.15,2019-03-30
306,Sorong,ID,-0.86,131.25,100,76,2.12,297.368,2019-03-30
307,Chula,PE,-12.93,-74.21,100,88,1.17,279.018,2019-03-30
308,Sabinov,SK,49.1,21.1,54,0,2.6,285.15,2019-03-30
309,Ulytaū,KZ,48.65,67.0,92,12,3.27,283.468,2019-03-30
310,Guerrero Negro,MX,27.97,-114.04,94,88,5.47,287.418,2019-03-30
311,Panzos,GT,15.4,-89.67,98,8,0.27,289.918,2019-03-30
312,Napak District,UG,2.38,34.17,31,0,5.52,306.818,2019-03-30
313,Selcuk,TR,37.95,27.37,32,0,11.8,285.15,2019-03-30
314,Mangistauskaya Oblast’,KZ,44.0,54.0,100,92,5.32,276.668,2019-03-30
315,Camp,CI,8.12,-6.31,68,48,2.17,301.518,2019-03-30
316,Green Head,AU,-30.07,114.97,30,44,2.42,305.318,2019-03-30
317,Municipio de Champerico,GT,14.3,-91.92,89,76,0.92,298.318,2019-03-30
318,Tỉnh Quảng Ninh,VN,21.25,107.33,85,48,3.32,297.368,2019-03-30
319,Koygorodok,RU,60.44,51.01,76,88,5.67,276.168,2019-03-30
320,Puerto Williams,CL,-54.93,-67.61,87,75,2.1,279.15,2019-03-30
321,Percut,ID,3.71,98.77,74,40,6.2,304.15,2019-03-30
322,Temaiku Village,KI,1.36,173.16,94,75,0.5,299.15,2019-03-30
323,Chokurdakh,RU,70.62,147.9,82,76,6.17,266.018,2019-03-30
324,Leshukonskoye,RU,64.9,45.76,74,88,4.97,273.218,2019-03-30
325,Shinhigashi,JP,25.85,131.26,97,48,4.27,295.818,2019-03-30
326,Belyy Yar,RU,53.6,91.39,27,0,2.0,284.15,2019-03-30
327,Chañaral,CL,-26.35,-70.62,100,92,1.12,289.918,2019-03-30
328,Région du Moyen-Comoé,CI,6.5,-3.42,80,24,2.72,302.318,2019-03-30
329,Santa Juana,CL,-37.17,-72.94,93,0,4.1,283.15,2019-03-30
330,Houston,US,29.76,-95.37,93,75,2.6,292.59,2019-03-30
331,Myitkyina,MM,25.38,97.4,40,12,1.32,303.768,2019-03-30
332,Anloga,GH,5.79,0.9,88,20,3.6,301.15,2019-03-30
333,Gobolka Mudug,SO,7.0,48.0,48,0,4.77,305.068,2019-03-30
334,Seydi,NE,13.34,7.75,16,0,3.1,299.15,2019-03-30
335,Schefferville,CA,54.8,-66.83,84,40,5.1,255.15,2019-03-30
336,Gamvik,NO,71.06,28.25,100,88,10.02,273.818,2019-03-30
337,Renews-Cappahayden,CA,46.92,-52.95,89,90,2.1,275.15,2019-03-30
338,Peleduy,RU,59.63,112.75,68,80,1.77,272.718,2019-03-30
339,Pangnirtung,CA,66.15,-65.72,67,90,9.8,266.15,2019-03-30
340,Provideniya,RU,64.42,-173.23,93,92,9.37,273.918,2019-03-30
341,Davison County,US,43.67,-98.18,74,20,7.7,274.15,2019-03-30
342,Vouzon,FR,47.64,2.06,53,0,2.6,285.37,2019-03-30
343,Lodwar,KE,3.12,35.6,40,0,5.12,307.118,2019-03-30
344,Emlagh,IE,53.55,-10.13,88,92,0.45,283.15,2019-03-30
345,Khuzdar,PK,27.8,66.62,25,0,1.82,298.918,2019-03-30
346,Hvide Sande,DK,56.01,8.13,81,0,4.6,284.26,2019-03-30
347,Chonchi,CL,-42.62,-73.77,100,75,4.6,285.15,2019-03-30
348,Uummannaq,GL,70.67,-52.13,90,76,1.17,260.018,2019-03-30
349,Saint Simons,US,31.14,-81.39,93,1,1.97,288.15,2019-03-30
350,Kapingamarangi Municipality,FM,1.07,154.76,100,76,5.72,302.168,2019-03-30
351,Plaine Corail,MU,-19.76,63.36,74,40,4.6,303.15,2019-03-30
352,San Policarpo,PH,12.18,125.51,87,64,3.92,299.618,2019-03-30
353,Ennadai,CA,61.13,-100.88,79,68,6.47,266.018,2019-03-30
354,Ocean View,NZ,-45.94,170.35,93,0,9.62,288.71,2019-03-30
355,Wagar,US,31.44,-87.99,92,0,1.77,288.71,2019-03-30
356,Greenland,GB,53.39,-1.42,93,0,0.5,280.37,2019-03-30
357,Swains Island,AS,-11.06,-171.08,94,0,4.02,303.818,2019-03-30
358,Denham,GB,51.58,-0.5,93,20,0.5,286.48,2019-03-30
359,Gatteville-le-Phare,FR,49.69,-1.28,76,0,1.5,286.48,2019-03-30
360,Grindavik,IS,63.84,-22.43,73,75,4.1,271.48,2019-03-30
361,Minţaqat ‘Asīr,SA,19.17,43.17,26,0,2.52,303.718,2019-03-30
362,Shengshan,CN,30.72,122.82,100,44,11.77,285.318,2019-03-30
363,Earth,US,34.23,-102.41,86,1,9.3,278.15,2019-03-30
364,Adventure Bay,AU,-43.37,147.33,47,20,6.7,287.15,2019-03-30
365,Baker Lake,CA,64.32,-96.03,83,40,2.47,251.15,2019-03-30
366,Kitob Shahri,UZ,39.12,66.88,62,20,4.1,288.15,2019-03-30
367,Razole,IN,16.48,81.84,94,0,7.17,302.518,2019-03-30
368,Mejit,MH,10.28,170.86,99,0,9.17,300.318,2019-03-30
369,Samarai,PG,-10.62,150.67,100,76,3.22,301.468,2019-03-30
370,Vysokogornyy,RU,50.1,139.13,57,76,1.02,265.418,2019-03-30
371,Inguiniel,FR,47.98,-3.28,66,0,3.1,284.82,2019-03-30
372,Fisterra,ES,42.91,-9.26,57,0,1.5,287.04,2019-03-30
373,Speyside,TT,11.3,-60.54,74,20,6.7,299.15,2019-03-30
374,Walker,US,43.01,-85.77,93,90,3.1,278.71,2019-03-30
375,Aleg,MR,17.05,-13.92,58,88,7.27,298.068,2019-03-30
376,Laverton,AU,-28.63,122.4,25,0,6.07,296.668,2019-03-30
377,San Quintin,PH,17.54,120.52,40,0,2.87,304.218,2019-03-30
378,Taloyoak,CA,69.53,-93.54,67,5,5.7,243.15,2019-03-30
379,Qingyang,CN,30.64,117.84,65,36,4.52,289.568,2019-03-30
380,Belaya Gora,RU,68.54,146.19,72,0,2.12,258.918,2019-03-30
381,Cancun,MX,21.17,-86.85,73,5,3.1,296.15,2019-03-30
382,Doclin,RO,45.3,21.65,43,0,2.1,287.04,2019-03-30
383,Konarka,IN,19.9,86.12,63,20,4.1,309.15,2019-03-30
384,Resolute,CA,74.7,-94.84,76,20,3.1,249.15,2019-03-30
385,Puerto Jiménez,CR,8.54,-83.31,92,32,1.17,300.768,2019-03-30
386,Arraial do Cabo,BR,-22.97,-42.02,100,44,0.27,295.518,2019-03-30
387,Kurilsk,RU,45.23,147.88,95,44,5.57,269.768,2019-03-30
388,West Island,CC,-12.16,96.82,88,90,2.1,299.15,2019-03-30
389,Kalgoorlie/Boulder,AU,-30.78,124.92,35,0,4.67,296.318,2019-03-30
390,Hawthorne,US,33.91,-118.35,76,1,0.92,289.15,2019-03-30
391,Sechura,PE,-5.56,-80.82,77,8,3.52,294.468,2019-03-30
392,Al Mikhlāf,SA,17.54,44.21,33,0,1.0,303.15,2019-03-30
393,Rongelap,MH,11.16,166.89,97,0,9.97,300.218,2019-03-30
394,Namibe,AO,-15.19,12.15,92,12,2.22,300.318,2019-03-30
395,Dzhangala,KZ,49.22,50.33,81,8,4.67,280.418,2019-03-30
396,Paraiso,MX,24.01,-104.61,59,0,2.37,282.568,2019-03-30
397,Highcroft,US,38.5,-122.94,100,1,3.57,283.15,2019-03-30
398,Mazapil,MX,24.64,-101.55,75,0,1.07,279.468,2019-03-30
399,Vaini,IN,15.34,74.49,34,20,2.1,308.15,2019-03-30
400,Polynésie Française,PF,-15.0,-140.0,100,0,1.77,301.268,2019-03-30
401,Qiangqinxue,CN,29.27,89.9,15,68,1.07,280.318,2019-03-30
402,Sahuaripa,MX,29.05,-109.23,64,44,0.97,285.918,2019-03-30
403,Stare Nechanice,CZ,50.24,15.62,70,0,1.0,284.82,2019-03-30
404,Hawaiian Ocean View,US,19.07,-155.76,65,12,1.22,294.82,2019-03-30
405,Surf City,US,34.43,-77.55,81,1,4.17,285.15,2019-03-30
406,Rodino,RU,52.5,80.2,95,64,4.92,279.168,2019-03-30
407,Honokaa,US,20.08,-155.47,73,90,1.5,295.15,2019-03-30
408,Margate,AU,-43.03,147.26,47,20,6.7,287.15,2019-03-30
409,Goro,CF,6.09,15.33,72,0,4.72,299.718,2019-03-30
410,Sidhi,IN,24.41,81.88,28,20,2.87,311.568,2019-03-30
411,Kulusuk,GL,65.58,-37.18,72,68,2.1,265.15,2019-03-30
412,Mould Bay,CA,76.23,-119.33,70,80,4.47,262.718,2019-03-30
413,Santa Cruz das Flores,PT,39.45,-31.12,100,100,9.92,288.518,2019-03-30
414,Nolanville,US,31.08,-97.61,93,1,4.6,292.15,2019-03-30
415,Bagamanoc,PH,13.94,124.29,95,0,4.32,300.318,2019-03-30
416,Egusquiza,AR,-31.1,-61.63,84,92,1.34,295.93,2019-03-30
417,Snowdrift,CA,62.41,-110.74,77,88,0.77,264.168,2019-03-30
418,Koktal,KZ,44.14,79.81,78,92,0.67,279.318,2019-03-30
419,Teguldet,RU,57.31,88.17,97,92,3.42,277.218,2019-03-30
420,Cerro La Calera,MX,19.18,-99.82,75,5,0.82,282.15,2019-03-30
421,Bikaner,IN,28.02,73.32,46,0,4.82,306.218,2019-03-30
422,Penong,AU,-31.93,133.01,63,90,4.6,291.15,2019-03-30
423,Alberta,US,45.57,-96.05,68,1,8.2,271.15,2019-03-30
424,Novyy Urengoy,RU,66.08,76.63,100,76,5.92,273.718,2019-03-30
425,Ponta do Sol,BR,-20.63,-46.0,86,12,3.37,290.568,2019-03-30
426,Hithadhoo,MV,-0.6,73.08,100,36,3.77,302.318,2019-03-30
427,Carnarvon,ZA,-30.97,22.13,14,32,1.92,299.768,2019-03-30
428,Provincia de Galápagos,EC,-0.67,-90.87,100,0,2.32,297.268,2019-03-30
429,Whale Cove,CA,62.17,-92.58,100,0,8.52,252.418,2019-03-30
430,Atqasuk,US,70.48,-157.41,86,1,8.2,270.15,2019-03-30
431,Pepeekeo,US,19.83,-155.1,73,90,1.5,295.15,2019-03-30
432,Kaeo,NZ,-35.1,173.78,89,100,6.02,292.59,2019-03-30
433,Jedway,CA,52.3,-131.22,92,24,2.77,279.818,2019-03-30
434,Olho d’Agua,BR,-2.88,-39.95,94,92,1.52,297.068,2019-03-30
435,Netla,CA,60.95,-123.27,81,92,1.42,275.918,2019-03-30
436,Riam Road Bazaar,MY,4.33,114.0,79,75,3.1,303.71,2019-03-30
437,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,59,80,4.0,274.15,2019-03-30
438,Carters Beach,NZ,-41.75,171.57,97,0,0.97,287.218,2019-03-30
439,Princeville,US,22.22,-159.49,68,90,1.5,294.15,2019-03-30
440,Vuktyl,RU,63.86,57.31,78,88,5.02,273.918,2019-03-30
441,Tolaga Bay,NZ,-38.37,178.3,94,88,1.47,290.068,2019-03-30
442,Taltal,CL,-25.41,-70.49,95,76,0.07,286.118,2019-03-30
443,Malsa’a,FJ,-12.48,177.07,100,92,4.37,300.168,2019-03-30
444,Norilsk,RU,69.35,88.2,96,88,7.62,273.068,2019-03-30
445,Trevi nel Lazio,IT,41.86,13.25,36,0,2.6,290.93,2019-03-30
446,Uhaiak (historical),US,57.0,-153.92,100,44,1.22,275.418,2019-03-30
447,Svalbard,SJ,78.16,15.86,67,40,11.8,266.15,2019-03-30
448,Mugia,ES,43.1,-9.22,57,0,1.5,287.04,2019-03-30
449,Zaqatala,AZ,41.63,46.65,93,90,1.0,276.15,2019-03-30
450,Sao Miguel do Araguaia,BR,-13.28,-50.16,98,56,1.72,294.518,2019-03-30
451,Pale,BA,43.81,18.57,75,0,1.0,279.15,2019-03-30
452,Trepassey,CA,46.74,-53.36,93,92,3.77,274.018,2019-03-30
453,Harper,US,30.3,-99.24,82,40,4.1,290.37,2019-03-30
454,Havre-Saint-Pierre,CA,50.23,-63.6,48,90,5.7,265.15,2019-03-30
455,Svetlogorsk,RU,53.14,59.15,47,40,9.0,275.15,2019-03-30
456,Bilibino,RU,68.06,166.44,70,0,0.97,253.768,2019-03-30
457,Kibakwe,TZ,-6.71,36.37,64,100,2.12,298.418,2019-03-30
458,Caherdaniel,IE,51.77,-10.1,87,75,1.5,280.15,2019-03-30
459,Sirjan,IR,29.44,55.67,46,32,2.17,291.218,2019-03-30
460,Antsohihy,MG,-14.88,47.99,95,36,2.12,302.068,2019-03-30
461,Ivujivik,CA,62.42,-77.92,90,80,6.12,262.968,2019-03-30
462,Guadalcanal Province,SB,-9.75,160.0,96,24,1.07,297.868,2019-03-30
463,Anaktuvuk Pass,US,68.14,-151.74,85,20,4.6,263.15,2019-03-30
464,Ago Are,NG,8.5,3.42,68,0,4.37,303.418,2019-03-30
465,Machang,CN,32.06,118.0,43,92,5.12,287.618,2019-03-30
466,Republic of Ecuador,EC,-2.0,-77.5,97,92,1.17,295.018,2019-03-30
467,Kugluktuk,CA,67.83,-115.11,85,20,9.8,267.15,2019-03-30
468,Ataliva,AR,-31.0,-61.43,84,88,1.34,295.93,2019-03-30
469,Rumung,FM,9.62,138.15,74,90,4.6,302.15,2019-03-30
470,Fakaifou Village,TV,-8.52,179.2,88,75,1.0,301.15,2019-03-30
471,Wuwei,CN,37.93,102.64,26,68,2.12,280.318,2019-03-30
472,Steamboat,US,39.38,-119.74,92,1,1.07,279.15,2019-03-30
473,Eriko Village,KI,-1.36,176.0,100,68,3.22,300.418,2019-03-30
474,Kangxiwar,CN,36.2,78.77,91,12,2.12,264.718,2019-03-30
475,Kelyun’ya,RU,68.83,-179.18,76,44,2.97,259.518,2019-03-30
476,Iriba,TD,15.12,22.25,15,0,4.92,304.318,2019-03-30
477,Bestobe,KZ,52.5,73.1,92,8,4.67,275.718,2019-03-30
478,Langston,US,35.95,-97.26,87,90,5.1,280.37,2019-03-30
479,Ankang,CN,32.73,108.99,42,68,1.42,286.618,2019-03-30
480,Milford Sound,NZ,-44.67,167.93,89,0,5.57,288.068,2019-03-30
481,Sandford,GB,50.81,-3.66,93,90,1.5,282.04,2019-03-30
482,Fort Dauphin,MG,-25.03,47.0,70,20,4.1,302.15,2019-03-30
483,Hobyo,SO,5.35,48.53,68,12,6.57,303.218,2019-03-30
484,Kunene,ZA,-28.48,30.27,41,0,0.92,300.518,2019-03-30
485,Solnechnyy,RU,50.72,136.64,73,64,1.12,268.568,2019-03-30
486,Pirgaaj,BD,25.86,88.36,90,8,1.87,302.718,2019-03-30
487,Manda,TZ,-10.47,34.59,79,76,1.52,298.218,2019-03-30
488,Valverde,PT,41.4,-7.21,20,0,1.52,285.93,2019-03-30
489,Hawkesbury,CA,45.61,-74.6,74,75,3.1,272.59,2019-03-30
490,Port Alfred,ZA,-33.59,26.89,80,8,5.82,295.168,2019-03-30
491,Batagay-Alyta,RU,67.8,130.41,79,0,1.22,264.518,2019-03-30
492,Tevaitoa,PF,-16.78,-151.5,97,80,3.37,302.218,2019-03-30
493,Alamo,US,37.85,-122.03,76,1,2.1,284.15,2019-03-30
494,Sanma Province,VU,-15.33,166.75,94,20,3.22,301.168,2019-03-30
495,Zhongan,CN,25.67,104.23,27,0,5.22,297.218,2019-03-30
496,Kiowa,US,37.02,-98.49,86,90,9.8,278.15,2019-03-30
497,Navolato,MX,24.76,-107.7,91,24,3.77,288.71,2019-03-30
498,Whitefish Station,CA,68.9,-136.91,81,88,2.47,269.518,2019-03-30
499,Selfs,US,33.69,-95.91,82,90,6.7,293.15,2019-03-30
500,Upper Blackville,CA,46.65,-65.87,83,8,2.07,268.918,2019-03-30
501,Gollar,IR,37.38,46.25,57,40,5.1,284.15,2019-03-30
502,Luderitz,NA,-26.65,15.16,94,80,4.67,292.418,2019-03-30
503,Suez,EG,29.97,32.54,46,44,7.82,291.518,2019-03-30
504,Kingston,CA,44.23,-76.48,86,90,1.47,275.37,2019-03-30
505,Petrogradskiy,RU,54.93,80.02,94,88,5.77,275.318,2019-03-30
506,Voslobeni,RO,46.65,25.63,60,0,2.24,283.71,2019-03-30
507,Taranna,AU,-43.05,147.87,43,20,8.7,286.15,2019-03-30
508,Maningrida,AU,-12.05,134.23,76,64,1.27,303.418,2019-03-30
509,Geyve,TR,40.5,30.3,39,20,7.2,281.15,2019-03-30
510,Lipin Bor,RU,60.26,37.97,85,0,5.87,276.768,2019-03-30
511,Alindao,CF,5.04,21.21,80,0,3.42,302.568,2019-03-30
512,Melville,CA,50.93,-102.81,85,1,3.6,267.15,2019-03-30
513,Angaur State,PW,6.91,134.13,74,75,2.6,301.15,2019-03-30
514,Narsimhapur,IN,17.14,74.26,31,12,0.52,309.218,2019-03-30
515,Álzaga,AR,-37.86,-59.97,92,0,4.77,289.818,2019-03-30
516,Torba Province,VU,-13.75,167.5,100,80,0.82,300.118,2019-03-30
517,Ghatanji,IN,20.14,78.32,25,0,2.02,314.168,2019-03-30
518,Oued Ed-Dahab-Lagouira,EH,22.85,-14.71,74,0,2.67,287.518,2019-03-30
519,Saint George,GR,39.45,22.34,50,20,5.1,286.15,2019-03-30
520,Mara,RO,47.76,23.83,62,0,0.5,283.15,2019-03-30
521,Kamyshlov,RU,56.85,62.71,86,0,8.52,275.018,2019-03-30
522,Tidjikja,MR,18.55,-11.43,75,80,7.37,294.068,2019-03-30
523,Edefors,SE,66.22,20.9,59,12,8.2,274.15,2019-03-30
524,Rainbow Beach,US,44.16,-88.45,79,40,3.1,275.93,2019-03-30
525,Tongoy,CL,-30.25,-71.49,87,90,1.0,286.15,2019-03-30
526,Judaydat Khabur,SY,35.85,39.42,100,88,6.62,287.618,2019-03-30
527,Auriflama,BR,-20.68,-50.56,73,0,4.32,294.568,2019-03-30
528,Fort Nelson,CA,58.81,-122.69,64,20,3.1,276.15,2019-03-30
529,Hanapepe,US,21.91,-159.59,64,20,3.6,294.15,2019-03-30
530,Nybyen,NO,78.2,15.59,67,40,11.8,266.15,2019-03-30
531,People’s Democratic Republic of Algeria,DZ,28.0,3.0,37,88,6.37,291.518,2019-03-30
532,Carloforte,IT,39.15,8.31,76,0,0.5,286.15,2019-03-30
533,Akhiok,US,56.95,-154.17,100,44,1.22,275.418,2019-03-30
534,Muisne,EC,0.61,-80.02,93,76,1.22,294.268,2019-03-30
535,Zhaxi,CN,29.68,91.14,53,76,0.67,278.568,2019-03-30
536,Del Monte Forest,US,36.59,-121.95,76,40,2.32,285.15,2019-03-30
537,Turukhansk,RU,65.8,87.96,87,80,8.27,273.718,2019-03-30
538,Dunhuang,CN,40.14,94.66,36,0,4.62,288.918,2019-03-30
539,Kuncina,CZ,49.79,16.63,70,0,1.0,288.15,2019-03-30
540,Keetmanshoop,NA,-26.57,18.15,19,48,5.1,300.15,2019-03-30
541,Forrest,AU,-30.85,128.11,46,90,6.7,294.15,2019-03-30
542,Muzhi,RU,65.4,64.7,92,12,7.62,274.718,2019-03-30
543,Merikarvia,FI,61.85,21.5,65,36,4.1,278.15,2019-03-30
544,The Village,US,35.57,-97.55,93,90,9.3,280.15,2019-03-30
545,Faanui,PF,-16.48,-151.75,100,48,2.32,301.818,2019-03-30
546,Doloon,MN,44.42,105.32,52,64,5.07,276.168,2019-03-30
547,Haafusia,WF,-13.3,-176.15,97,44,2.12,302.668,2019-03-30
548,Yemtsa,RU,63.06,40.33,68,0,5.47,275.818,2019-03-30
549,Campo Quijano,AR,-24.91,-65.64,100,75,1.72,289.15,2019-03-30
550,Constitucion,MX,23.99,-104.67,59,0,2.37,282.568,2019-03-30
551,Tamrida,YE,12.65,54.03,68,0,1.62,303.418,2019-03-30
552,Bornholm,AU,-35.05,117.58,56,0,6.7,293.15,2019-03-30
553,Kanab,US,37.05,-112.53,64,1,1.52,277.04,2019-03-30
554,Bouar,CF,5.94,15.59,72,0,4.72,299.718,2019-03-30
555,Weldon,US,44.57,-86.06,55,90,2.1,275.93,2019-03-30
556,Quy Nhon,VN,13.77,109.23,90,44,3.82,300.868,2019-03-30
557,Departamento del Amazonas,CO,-1.02,-71.94,94,8,1.32,297.518,2019-03-30
558,Old Homestead,US,40.44,-106.14,67,75,4.1,270.37,2019-03-30
559,Cochrane,CL,-47.25,-72.57,88,0,1.02,270.118,2019-03-30
560,Kalida,US,40.98,-84.2,87,90,6.7,285.93,2019-03-30
561,Camacha,PT,33.08,-16.33,87,20,0.5,289.15,2019-03-30
562,Olenek,RU,68.51,112.47,86,0,3.32,269.868,2019-03-30
563,Berëzovaya,RU,54.95,92.14,60,68,2.62,280.418,2019-03-30
564,Barawa Ladé,CM,10.25,14.15,8,0,10.3,308.15,2019-03-30
565,Provinsi Kepulauan Bangka Belitung,ID,-2.67,106.67,99,8,3.12,303.168,2019-03-30
566,Besatra,MG,-22.28,45.18,83,0,1.97,300.468,2019-03-30
567,Región del Biobío,CL,-37.0,-72.5,93,0,4.1,283.15,2019-03-30
568,Cosnino,US,35.21,-111.47,49,1,2.12,279.82,2019-03-30
569,Newton,US,41.7,-93.05,69,90,6.7,276.48,2019-03-30
570,Raha Tiga,ID,-4.83,122.72,100,44,0.87,300.318,2019-03-30
571,Kavaratti,IN,10.57,72.64,100,0,3.62,301.818,2019-03-30
572,Bairro Novo,BR,-6.84,-35.49,94,40,2.6,297.15,2019-03-30
573,Robertsport,LR,6.75,-11.37,97,24,2.07,301.168,2019-03-30
574,Chittering,GB,52.31,0.19,100,1,2.07,285.93,2019-03-30
575,Lohardaga,IN,23.43,84.68,28,0,3.6,307.15,2019-03-30
576,Paiguano,CL,-30.02,-70.53,87,90,1.0,286.15,2019-03-30
577,Ibiuna,BR,-23.66,-47.22,88,20,3.1,292.04,2019-03-30
578,Umm Kaddadah,SD,13.6,26.69,10,0,3.92,305.918,2019-03-30
579,Gonghe,CN,25.32,101.54,19,0,5.97,298.15,2019-03-30
580,Mocajuba,BR,-2.58,-49.5,97,88,0.62,296.418,2019-03-30
581,Krasnosel’kup,RU,65.7,82.47,97,92,6.17,273.468,2019-03-30
